"country","lat","lon"
"India","26.156999","85.8995065"
"China","30.2489634","120.2052342"
"South Africa","-29.53897","31.21439"
"India","25.0071053","72.2653077"
"India","25.244263","87.6348084"
"India","26.078108","82.87422"
"India","28.3501722","77.5533115"
"China","37.48254","111.5756"
"Pakistan","31.1704788","74.1012446"
"China","32.1502714","101.7037465"
"India","26.4956","77.0275"
"India","18.8297654","77.8001055"
"China","31.9827896","120.8904588"
"India","26.3049106","87.2632847"
"India","27.2156849","77.1982449"
"India","24.7358693","72.9446375"
"Indonesia","-6.5745161","106.6343847"
"China","39.23417","106.34389"
"India","25.6650399","78.4586499"
"India","27.1323","81.6961"
"India","23.661154","87.6962424"
"Mexico","19.4162929","-98.9014367"
"India","23.435707","88.594957"
"Indonesia","-7.5313771","110.5972919"
"Mexico","20.0574771","-99.63361224421404"
"India","19.8376673","77.8486061"
"South Africa","-26.235278","28.37"
"Mexico","18.9617223","-99.5930459"
"South Africa","-25.83333","28.21667"
"India","27.4652463","75.5974065"
"India","26.8851057","78.374679"
"Chile","-33.5736124","-71.0848474"
"Pakistan","30.4692602","70.9678776"
"Pakistan","30.9777056","72.4860799"
"India","29.5372849","75.0377649"
"Pakistan","31.8660402","73.5038755"
"India","25.6497164","72.4209004"
"Pakistan","24.7009508","70.1784697"
"China","28.8661","101.17"
"Mexico","19.4339293","-98.9580149"
"China","23.699864","120.536499"
"China",NULL,NULL
"India","27.0471366","76.928784"
"India","24.3589377","75.0700454"
"India","27.2524168","76.4703584"
"India","23.2586954","76.1467445"
"Brazil","-22.8219014","-43.0309252"
"Indonesia","-6.12319355","106.58398020360181"
"Indonesia","-6.33321675","106.7226635889224"
"India","24.8763185","74.6390463"
"India","22.69972","88.3519784"
"India","22.787632","88.322982"
"India","22.79778","88.36583"
"Australia","-12.489982","130.9908056"
"Indonesia","-6.23713985","106.56702010021641"
"Mexico","19.664926","-99.109648"
"South Africa","-25.6297222","27.7841667"
"India","28.6707787","75.0361419"
"India","28.2532652","77.853916"
"India","24.7972148","76.9647431"
"China","28.6581723","121.4163876"
"India","24.9820125","81.642065"
"China","61.31667","29.55002"
"China","34.6586906","109.2240468"
"India","25.217857","85.733625"
"India","26.8023","84.5074"
"Pakistan","31.7223135","72.9802538"
"India","20.2121463","78.8578248"
"India","25.1281931","82.8835399"
"India","26.5151843","87.0084605"
"Pakistan","30.8349067","72.0764093"
"Mexico","19.415556","-98.14"
"Mexico","19.4079028","-99.0181547"
"China","31.8641913","120.5110609"
"India","25.9526618","77.9323232"
"China","33.2955","113.653"
"India","26.0992137","74.3127044"
"India","24.8524617","79.0200002"
"Iran (Islamic Republic of)","35.480576","51.0781534"
"Namibia","-26.6500086","15.157266"
"Democratic Republic of the Congo","-4.4283572","26.6700323"
"India","33.6787649","74.9616265"
"India","24.2550835","83.8000067"
"India","26.4200687","82.5382541"
"India","26.9472867","76.57777"
"China","36.8616265","114.5112915"
"India","23.8315668","71.6103884"
"India","26.9059419","77.2924498"
"India","17.360589","78.4740613"
"India","26.3018925","77.6151613"
"India","24.5017446","81.5005517"
"Pakistan","27.4985661","68.4670125"
"Pakistan","32.2864067","72.2878819"
"South Africa","-26.6747222","27.9261111"
"Pakistan","32.072546","73.6857558"
"India","29.3248768","78.5732637"
"India","27.0628056","73.8216985"
"Pakistan","30.0447871","72.3489871"
"Indonesia","-7.0899289","107.8864302"
"India","26.8280867","83.53576"
"Pakistan","32.2007435","74.648305"
"India","27.095847","76.9745922"
"Nepal","27.419222650000002","85.00987572152766"
"China","31.1397135","117.9416053"
"Chile","-32.8429976","-70.9524687"
"India","26.4883968","75.4497456"
"Democratic Republic of the Congo","-6.7342539","23.9514378"
"China","38.41667","77.24056"
"India","26.1537145","78.7819374"
"India","28.6711527","77.4120356"
"China","34.5807","111.759"
"India","26.2269466","79.8397679"
"India","22.8400629","88.6630678"
"Pakistan","31.2728805","72.3103071"
"Bangladesh","23.9215122","90.5652168"
"India","25.5544754","84.1490887"
"Pakistan","28.550147","70.470374"
"India","17.3115682","75.7703324"
"India","27.0388103","74.7271171"
"China","36.6507007","117.1140042"
"South Africa","-25.665655","27.241448"
"India","27.5574906","73.472363"
"Chile","-33.7319741","-70.7419619"
"Nepal","27.0135196","84.8763804"
"China","30.6671088","117.4859885"
"Indonesia","-7.6160548","110.7002444"
"India","25.992747549999997","81.66139818995768"
"India","25.9662632","84.8562955"
"India","25.5796787","85.0424411"
"India","22.7156992","88.381582"
"India","26.2483936","77.4099835"
"India","25.8438799","78.9067775"
"Indonesia","-6.1761924","106.6382161"
"Pakistan","31.5706658","73.1838035"
"India","26.7990707","82.2052321"
"China","36.0638034","120.3781372"
"Iran (Islamic Republic of)","35.811903","51.00763"
"Brazil","-22.6604221","-43.0426162"
"Mexico","19.4547308","-98.8722233"
"China","37.1452884","111.7724751"
"Indonesia","-7.7006414","111.620691"
"China","35.1265","107.466"
"Indonesia","-6.354225","106.2505031"
"China","29.5656729","106.5479189"
"India","25.7294","78.9508"
"India","28.6264562","77.1349668"
"India","26.150045","74.0008592"
"India","22.7247059","88.3434353"
"India","26.5628589","79.7340031"
"India","25.4502464","78.5800085"
"India","26.1216714","79.7458188"
"India","25.0903008","83.0303992"
"India","26.7600217","83.3668129"
"Nepal","27.02596445","84.99487714893104"
"Malaysia","4.392739","113.9880255"
"China","32.5112693","120.1231831"
"India","26.489896","79.9011355"
"South Africa","-29.6","30.3788889"
"China","35.2477266","115.4464761"
"Nigeria","6.784116","3.585813"
"China","30.5276161","117.0515956"
"China",NULL,NULL
"South Africa","-26.0221753","28.2014478"
"Mexico","19.613889","-98.118611"
"India","25.974212","75.1545672"
"India","27.1519","74.8621"
"India","26.9861762","73.9727321"
"India","26.6741967","85.1670195"
"South Africa","-26.2529561","28.1270777"
"India","27.0457102","76.5752695"
"India","25.0679426","80.1928856"
"Mexico","19.5591193","-98.8954796"
"Senegal","16.516508","-15.50684"
"India","26.2112474","81.2625888"
"India","25.8596845","85.7839038"
"India","29.9750564","76.8309445"
"India","29.1921593","78.8618197"
"India","31.3815015","75.3843769"
"Indonesia","-6.21799745","106.5170844864499"
"India","25.6414297","73.5732078"
"Pakistan","28.3086664","70.1283004"
"South Africa","-34.0822195","18.8489342"
"India","24.8108484","78.9830808"
"Democratic Republic of the Congo","-7.5094813","24.1715794"
"India","25.6475744","81.3175511"
"Pakistan","32.5901971","73.0432545"
"India","27.5753726","77.6938045"
"India","20.7334287","82.6512301"
"India","25.0814596","79.6339684"
"China","29.891174","102.2142779"
"India","26.22177135","79.37018402037722"
"India","21.032816699999998","77.38325342687358"
"Mexico","19.7044852","-98.8344679"
"Brazil","-23.4675941","-46.5277704"
"Iran (Islamic Republic of)","35.5478513","51.2318676"
"Brazil","-23.5427842","-46.3108391"
"China",NULL,NULL
"India","23.5215497","68.5246951"
"India","28.2513181","77.6008987"
"India","23.7107591","73.5956311"
"India","25.5735429","78.8126634"
"Indonesia","-6.9820066","108.5816064"
"India","30.6683516","77.7662301"
"India","24.8515132","79.9259786"
"India","25.2592694","83.2667942"
"India","26.88604","74.76602"
"India","27.36621","75.5676292"
"India","26.1346459","87.4654062"
"Russian Federation","53.9862567","123.9373454"
"Namibia","-22.6767841","14.5313988"
"Mexico","19.173889","-98.233333"
"India","25.6656611","76.6954843"
"South Africa","-25.999262","28.125912"
"China","40.2916528","97.0448526"
"Democratic Republic of the Congo","-4.3217055","15.3125974"
"Pakistan","29.1935179","72.8548724"
"Nigeria","5.5186186","5.7480196"
"Nigeria","6.1461619","6.8019088"
"Pakistan","30.6836301","71.7611651"
"India","26.3449263","83.353147"
"India","24.667929","81.8811502"
"India","25.4281109","81.9137525"
"India","26.0205442","83.5685545"
"China","39.7321262","98.4936839"
"China","29.8622194","121.6203873"
"Indonesia","-7.4937679500000005","110.39235831626016"
"Mexico","19.215833","-98.239722"
"China","27.6304933","110.0816517"
"India","16.328919","80.6238497"
"Iran (Islamic Republic of)","34.634712","50.862392"
"South Africa","-25.5080556","28.0680556"
"Mexico","19.5902244","-98.9079359"
"Pakistan","28.8126927","70.5177963"
"Pakistan","34.0155606","71.981283"
"Mauritania","16.3406075","-13.948088"
"India","27.6091864","75.1395503"
"China","35.5794492","103.2253526"
"Indonesia","-6.1719337","106.562309"
"India","25.63463955","79.52638693149856"
"South Africa","-25.481944","30.984722"
"India","24.2508677","78.6954331"
"India","22.6910824","88.4660136"
"India","30.049754","77.807742"
"India","27.1375008","77.7865096"
"Bangladesh","25.6260712","88.6346228"
"China","32.6770947","112.6913202"
"South Africa","-26.706891","27.836271"
"India","19.8861948","74.2275374"
"Democratic Republic of the Congo","-6.1258942","23.5998111"
"India","27.7095568","77.9403457"
"Pakistan","32.6307377","73.0147091"
"China","29.39168","108.60125"
"Mexico","19.0286542","-98.7800391"
"China","28.5477413","96.987924"
"Mexico","19.7098559","-98.4502318"
"India","22.8186031","88.3626129"
"Mexico","19.2612215","-98.8958362"
"India","25.2110275","73.8667917"
"China","34.2813151","105.5104744"
"India","29.7107922","75.9042326"
"China","34.7204276","104.9974283"
"Brazil","-23.9664177","-46.3861401"
"Angola","-8.5827504","13.6600788"
"China",NULL,NULL
"China","37.2435934","104.1037444"
"China","34.3312012","108.7043813"
"Democratic Republic of the Congo","-5.0383083","18.8178447"
"Indonesia","-6.3131287","106.68073925095902"
"Brazil","-22.7896225","-43.309929"
"China","27.4625458","106.2167187"
"India","27.0304766","79.4889568"
"Mexico","19.6531356","-99.2145002"
"Mexico","19.416667","-98.166667"
"India","24.0051159","76.733677"
"South Africa","-25.670556","28.528889"
"Pakistan","33.7608275","72.4329548"
"Indonesia","-6.9753617","107.7364634"
"Chile","-33.6504376","-70.8984229"
"India","24.3486367","80.601479"
"India","28.865577","77.2839973"
"India","26.7639","84.74341"
"India","28.9953758","77.0233627"
"India","26.8971615","78.1711602"
"China",NULL,NULL
"China","34.0457133","113.8225908"
"Pakistan","32.43865","74.29931"
