"country","lat","lon","max_ozone_aqi_value"
"United Arab Emirates","24.4538352","54.3774014",170
"Kuwait","29.31667","48.05",159
"Iraq","33.3061701","44.3872213",143
"China","36.6507007","117.1140042",210
"Saudi Arabia","17.1319384","42.5073273",138
"Pakistan","31.5706658","73.1838035",204
"Malaysia","4.392739","113.9880255",209
"Indonesia","-6.21799745","106.5170844864499",207
"Iran (Islamic Republic of)","35.5478513","51.2318676",235
"Viet Nam","21.1386671","105.5056335",194
"Egypt","30.6043775","32.2770825",139
"India","30.049754","77.807742",205
"Oman","23.5882019","58.3829448",155
"Nepal","28.058903","81.625847",152
"Qatar","25.2856329","51.5264162",164
