"country","lat","lon","max_pm25_aqi_value"
"Pakistan","29.9935922","73.2527621",466
"India","25.7831986","78.4935379",500
"India","28.23894","78.437849",500
"India","29.3215949","77.2697457",500
"India","28.8360988","78.2452916",500
"Republic of Korea","37.5666791","126.9782914",415
"India","28.7142498","77.654851",500
"India","21.3445535","79.5991747",500
"Uzbekistan","41.5544131","61.0002405",242
"Australia","-12.489982","130.9908056",264
"United States of America","37.2395367","-107.82158179169292",500
"India","29.1841366","74.7691392",500
"India","29.414476","77.469013",500
"India","28.298335","74.9679308",500
"India","28.0159286","73.3171367",500
"India","29.6934466","75.23753",500
"Mexico","19.7875962","-98.5522855",384
"Chile","-33.2864213","-70.8729771",358
"India","29.1539372","77.9898759",500
"India","18.9922654","77.1093571",500
"India","32.0169368","76.6073763",500
"China","30.6598628","104.0633717",386
"India","28.7684086","77.5408434",500
"Democratic Republic of the Congo","-6.4786095","16.8168133",446
"India","25.7156417","86.1900491",500
"India","29.186892","77.829956",500
"India","28.5815658","77.8013509",500
"India","26.6779293","77.0916438",500
"India","28.4031478","77.3105561",500
"India","29.8397737","76.9318026",500
"South Africa","-26.2124639","28.2617471",500
"India","30.0984439","79.5954938",500
"India","29.3266099","77.85042",500
"India","29.2911363","78.2842594",500
"India","28.8334982","78.7732864",500
"India","29.8789408","77.0520633",500
"India","26.9198813","71.9197573",500
"Angola","-8.5827504","13.6600788",285
"India","27.0981821","70.787366",500
"Indonesia","-6.3131287","106.68073925095902",297
"Brazil","-22.7896225","-43.309929",268
"Russian Federation","55.149694","124.7375884",475
"India","28.4520179","77.6989831",500
